,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,GEOMETRIC_CENTER,"Jalan Letjend S. Parman No.94, Purwantoro, Blimbing, Kota Malang, Jawa Timur 65125, Indonesia",ChIJF6MG8MYp1i0RpTka77JN8WY,JARTONO,-7.947711200000001,112.6405356,2,65125,OK,"electronics_store,establishment,furniture_store,home_goods_store,point_of_interest,store"
1,APPROXIMATE,"Jerusalem, Israel",ChIJS_zBNNbXAhURy-FuRT5ib9k,JARUSALEM,31.768319,35.21371,1,,OK,"locality,political"
2,APPROXIMATE,"Jarušje, Croatia",ChIJkQHLLWa1ZUcRChJE_Kbwnls,JARUSJE,45.7733684,15.5797641,1,,OK,"locality,political"
3,APPROXIMATE,"Jaruške Gornje, Bosnia and Herzegovina",ChIJL7S12965XkcRSACyhE2M7Bw,JARUSKE,44.4500982,18.4182646,1,,OK,"locality,political"
4,APPROXIMATE,"Jasa Tomic, Serbia",ChIJuSX_X8SzWkcR8hf7VrjpQgo,JASA TOMIC,45.4123755,20.8041177,1,,OK,"locality,political"
5,APPROXIMATE,"Jasa Tomic, Serbia",ChIJuSX_X8SzWkcR8hf7VrjpQgo,JASA TOMIE,45.4123755,20.8041177,1,,OK,"locality,political"
6,APPROXIMATE,"Jasa Tomic, Serbia",ChIJuSX_X8SzWkcR8hf7VrjpQgo,JASA TOMIS,45.4123755,20.8041177,1,,OK,"locality,political"
7,,,,JASA TOMITACH,,,0,,ZERO_RESULTS,
8,,,,JASA TORVIC,,,0,,ZERO_RESULTS,
9,,,,JASAPONIC,,,0,,ZERO_RESULTS,
10,,,,JASATOVCE,,,0,,ZERO_RESULTS,
11,APPROXIMATE,"Jasenica, Bosnia and Herzegovina",ChIJy031OuwkXEcR2dc3FtO4hxY,JASENICA,44.8426669,18.3430463,1,,OK,"locality,political"
12,APPROXIMATE,"Jasenica, Bosnia and Herzegovina",ChIJy031OuwkXEcR2dc3FtO4hxY,JASENICO,44.8426669,18.3430463,1,,OK,"locality,political"
13,APPROXIMATE,"976 75 Jasenie, Slovakia",ChIJC95FOuptFUcRErkkx3dbwdw,JASENIE,48.8356453,19.4604621,1,976 75,OK,"locality,political"
