,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,APPROXIMATE,"Saimbeyli, Kandilli Mahallesi, 01740 Saimbeyli/Adana, Turkey",ChIJ1TVwyAESLBURpqdrlaRtKeM, HADJIN,37.98609,36.089587,1,01740,OK,"locality,political"
1,ROOFTOP,"A B News, 96 High St, Ryde PO33 2SZ, UK",ChIJ051rMQVhdEgR4ZTnbVe0GBE,(ILE)AB,50.7250933,-1.1641187,1,PO33 2SZ,OK,street_address
2,APPROXIMATE,"Île-à-la-Crosse, SK S0M 1C0, Canada",ChIJE8zx3SH7q1MRSnKZ9oCbSk4,(ILE)LNO,55.4505648,-107.9036302,2,S0M 1C0,OK,"locality,political"
3,APPROXIMATE,"Presque Isle, ME, USA",ChIJ2xEeUmOuvEwRSR1kV-LKEDQ,(ILE)ME,46.68115299999999,-68.01586139999999,1,,OK,"locality,political"
4,,,,(ILEG)DEA,,,0,,ZERO_RESULTS,
5,,,,(ILEG)JANO,,,0,,ZERO_RESULTS,
6,,,,(ILEG)NIK,,,0,,ZERO_RESULTS,
7,,,,(ILEG)SUAN,,,0,,ZERO_RESULTS,
8,,,,(ILEG)TAM,,,0,,ZERO_RESULTS,
9,ROOFTOP,"279 Rue Sherbrooke O, Montréal, QC H2X 1Y2, Canada",ChIJ95nW_EgayUwRGGlyfQDNeIQ,(INC)DGORA,45.50857999999999,-73.5713731,1,H2X 1Y2,OK,"art_gallery,establishment,point_of_interest"
10,ROOFTOP,"2101 Wooddale Dr D, Woodbury, MN 55125, USA",ChIJT2LIAPhRVEARsNpQKIo3RjI,(INC)LOG,44.918395,-92.972314,1,55125,OK,"establishment,point_of_interest"
11,ROOFTOP,"16091 Swingley Ridge Rd Suite 200, Chesterfield, MO 63017, USA",ChIJyfQh4CTV2IcR6g71SYdfH3I,(INC)YRNE,38.65477,-90.555651,2,63017,OK,"establishment,point_of_interest"
12,,,,(INC.) HAMMOUD,,,0,,ZERO_RESULTS,
13,,,,(INC.) HERCHE,,,0,,ZERO_RESULTS,
14,ROOFTOP,"93 Cronulla St, Cronulla NSW 2230, Australia",ChIJw-ub9Q3IEmsR5urXJGp5lko,(INC.)AFE,-34.054488,151.151699,1,2230,OK,"cafe,establishment,food,point_of_interest"
15,ROOFTOP,"10975 Grandview Dr # 400, Overland Park, KS 66210, USA",ChIJq-R2FvnqwIcRrXUk88yVPa8,(INC.)AN,38.9288586,-94.69015569999999,1,66210,OK,"establishment,point_of_interest"
