,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
46,GEOMETRIC_CENTER,"Mound St, Lebanon, OH 45036, USA",ChIJhTSUdxr0QIgRUazhhz6VM5o,MOUD LIBANO,39.4348929,-84.19881819999999,3,45036,OK,route
47,,,,MOUESTOR,,,0,,ZERO_RESULTS,
48,,,,MOUHAIRE,,,0,,ZERO_RESULTS,
49,,,,MOUHARDE,,,0,,ZERO_RESULTS,
50,GEOMETRIC_CENTER,"Jl. puskesmas, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",ChIJD-rrnwfyaS4RPBD7IQmoFAw,MOUJAIRE,-6.298342799999999,106.8273117,1,12520,OK,route
51,,,,MOUKAABRA,,,0,,ZERO_RESULTS,
52,,,,MOUKHARAH,,,0,,ZERO_RESULTS,
53,APPROXIMATE,"Mount Lebanon, Lebanon",ChIJ1zmyh1sQIhUR-4tRdYx3f1I,MOUNT LEBONAN,34.3,36.116667,1,,OK,"establishment,natural_feature"
54,APPROXIMATE,"Mount Lebanon, Lebanon",ChIJ1zmyh1sQIhUR-4tRdYx3f1I,MOUNT LIBANON,34.3,36.116667,1,,OK,"establishment,natural_feature"
55,GEOMETRIC_CENTER,"Libau Ave, Bell Park VIC 3215, Australia",ChIJ86z6OjER1GoRqWCd_CjQ6Wc,MOUNT LIBAU,-38.1142573,144.3394794,4,3215,OK,route
56,,,,MOURAKEIB,,,0,,ZERO_RESULTS,
57,,,,MOUROL,,,0,,ZERO_RESULTS,
58,,,,MOUSAIR EL SHOUF,,,0,,ZERO_RESULTS,
59,,,,MOUZISTE,,,0,,ZERO_RESULTS,
60,,,,MOVE SOVE,,,0,,ZERO_RESULTS,
61,APPROXIMATE,"36628 Mozorín, Pontevedra, Spain",ChIJ5d93D1oTLw0RrZ__bjUBGYw,MOZORIN,42.5401851,-8.741577699999999,1,36628,OK,"locality,political"
62,ROOFTOP,"Carretera de Jandía, km11, 35610 Antigua, Las Palmas, Spain",ChIJG0rHrwPBRwwRtFwJKcDEKnU,MOZRAT,28.3863753,-13.8645053,1,35610,OK,"cafe,establishment,food,point_of_interest"
63,APPROXIMATE,"Mosul, Iraq",ChIJuYga22SUB0ARMAkP3U7XRZc,MOZUL,36.3566484,43.1640004,1,,OK,"locality,political"
64,APPROXIMATE,"Mračaj, Bosnia and Herzegovina",ChIJISgiO1efX0cRvUEdkws7ZQc,MRACAJ,43.9621223,17.3702687,1,,OK,"locality,political"
65,APPROXIMATE,"47250, Mračin, Croatia",ChIJyWjlfjoVZEcR7DqVOlQ7UO0,MRACIN,45.4358022,15.4097034,1,47250,OK,"locality,political"
66,APPROXIMATE,"Mraj, Syria",ChIJQbwqoqbGIxURkV8Vx7HrKEI,MRAJ,34.9265267,36.1803335,1,,OK,"locality,political"
67,,,,MRAKRAZE,,,0,,ZERO_RESULTS,
68,APPROXIMATE,"Mramorac, Serbia",ChIJj6-qBO7MUEcRfxoQVJNyDpA,MRAMORAC,44.2846211,20.8954893,1,,OK,"locality,political"
69,APPROXIMATE,"Mramorak, Serbia",ChIJff2AYrdiUEcREaP4561s2a0,MRAMORAK,44.9118989,20.9700843,1,,OK,"locality,political"
70,APPROXIMATE,"Mravince, Croatia",ChIJgcEhknVfNRMRWwd8IWoM2_A,MRAVINCI,43.5327895,16.5160335,1,,OK,"locality,political"
71,APPROXIMATE,"Mravinjac, Bosnia and Herzegovina",ChIJoUq-ZP-JWEcRgONe00ZwzEo,MRAVINJAC,43.6297721,18.9409415,1,,OK,"locality,political"
72,,,,MRAVINJAK,,,0,,ZERO_RESULTS,
73,,,,MRAVORATZ,,,0,,ZERO_RESULTS,
74,ROOFTOP,"2601 Ashby Dr, Wilmington, NC 28411, USA",ChIJ10GXH2KLqYkRFgZBlSNSxUA,MRAY,34.282283,-77.83809049999999,1,28411,OK,"establishment,point_of_interest"
75,APPROXIMATE,"Mrazovac, Bosnia and Herzegovina",ChIJP3NfXcnKZkcRXavFEynYAuA,MRAZOVAI,45.08116099999999,16.0757025,1,,OK,"locality,political"
76,,,,MRCINE,,,0,,ZERO_RESULTS,
77,APPROXIMATE,"Mrkopalj, Croatia",ChIJR9SvL5KAZEcRYMIrhlCtAAQ,MRCOTALJ,45.3148765,14.8520695,1,,OK,"locality,political"
78,APPROXIMATE,"Mike, Musselfork Township, MO 64658, USA",ChIJzVhUfr_ywocRwibamFrrd0Q,MREIKEB,39.5964145,-92.9574179,2,64658,OK,"colloquial_area,political"
79,,,,MRELJIM,,,0,,ZERO_RESULTS,
80,,,,MRICHTE,,,0,,ZERO_RESULTS,
81,APPROXIMATE,"Mrkopalj, Croatia",ChIJR9SvL5KAZEcRYMIrhlCtAAQ,MRKOLOLJ,45.3148765,14.8520695,1,,OK,"locality,political"
82,APPROXIMATE,"Mrkopalj, Croatia",ChIJR9SvL5KAZEcRYMIrhlCtAAQ,MRKOPAIJ,45.3148765,14.8520695,1,,OK,"locality,political"
83,APPROXIMATE,"Mrkopalj, Croatia",ChIJR9SvL5KAZEcRYMIrhlCtAAQ,MRKOPALI,45.3148765,14.8520695,1,,OK,"locality,political"
84,APPROXIMATE,"Mrkopalj, Croatia",ChIJR9SvL5KAZEcRYMIrhlCtAAQ,MRKOPALJ,45.3148765,14.8520695,1,,OK,"locality,political"
85,APPROXIMATE,"Mrkopalj, Croatia",ChIJR9SvL5KAZEcRYMIrhlCtAAQ,MRKOPELJ,45.3148765,14.8520695,1,,OK,"locality,political"
86,APPROXIMATE,"Mrljane, Croatia",ChIJebsIys60NBMRndR9UGH_8p8,MRLJANE,43.9675746,15.3538124,1,,OK,"locality,political"
87,APPROXIMATE,"Rõuge, Võru County, Estonia",ChIJOyCkBzH46kYRVyHSx2zG0DQ,MROUGE,57.7297816,26.9169264,1,,OK,"locality,political"
88,,,,MRYAMMI,,,0,,ZERO_RESULTS,
