,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"New Post Office Square, Corby NN17 1PB, UK",ChIJ3wsdy4mcd0gRlFJbqrfGOs0,CORB ALI,52.4882826,-0.700488,1,NN17 1PB,OK,"establishment,food,meal_takeaway,point_of_interest,restaurant"
1,APPROXIMATE,"Corba, 1673 Rue, Switzerland",ChIJ0SJnCy2AjkcRoWOj6pEfdEE,CORBA,46.5852045,6.8268811,1,1673,OK,"colloquial_area,political"
2,APPROXIMATE,"33084 Cordenons, Province of Pordenone, Italy",ChIJxemwc5d8eUcR4NwZ_VE7tyg,CORDENONS,45.9858407,12.7035513,1,33084,OK,"locality,political"
3,,,,CORENCA VAS TRATA,,,0,,ZERO_RESULTS,
4,GEOMETRIC_CENTER,"Trata, 4224 Gorenja vas, Slovenia",ChIJNTyRRCvDekcRIYTNvCw4K2U,CORENJA VAS TRATA,46.1015383,14.1362929,1,4224,OK,route
5,APPROXIMATE,"44440, Ćore, Croatia",ChIJDWkvWcPTZkcRlWFKBMlXDMY,CORER DVOR,45.0933265,16.3325523,1,44440,OK,"locality,political"
6,ROOFTOP,"5821 Fairview Rd, Charlotte, NC 28209, USA",ChIJWwQpR2ieVogRBAaMVT3vCns,COREV DOUR,35.152233,-80.84177249999999,1,28209,OK,"establishment,insurance_agency,point_of_interest"
7,,,,COREVAS,,,0,,ZERO_RESULTS,
8,APPROXIMATE,"87032 Coreca, Province of Cosenza, Italy",ChIJVcsgK8DDPxMR5JEK2y9krwI,CORICA,39.0807886,16.0890023,1,87032,OK,"locality,political"
9,GEOMETRIC_CENTER,"Corridos Dr, Casa Grande, AZ 85193, USA",ChIJOZxwxsNhKocRv-F-Q6wyJ1k,CORIDOS,32.8271908,-111.8411961,1,85193,OK,route
10,,,,CORNAT EL AMRA,,,0,,ZERO_RESULTS,
11,APPROXIMATE,"Corné, France",ChIJW8qu-xR1CEgREJYNHlI3DQQ,CORNE,47.470827,-0.350232,1,,OK,"locality,political"
12,APPROXIMATE,"Cornet, WA 98277, USA",ChIJ9cN22E5jhVQRRC8-abQJoLU,CORNET,48.3959355,-122.6296147,1,98277,OK,"locality,political"
13,,,,CORNET CHAHONA,,,0,,ZERO_RESULTS,
14,APPROXIMATE,"Cornet Chahwan, Lebanon",ChIJqSCUQug-HxURgkaIvBwBQ7A,CORNET CHEHUAN,33.9180056,35.6428262,1,,OK,"administrative_area_level_3,political"
15,APPROXIMATE,"Qornet El Hamra, Lebanon",ChIJ7VWkczQ_HxURqnfpdTuKGeM,CORNET EL HAURA,33.9355022,35.6493881,1,,OK,"locality,political"
