,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"8622 Kennel Way, La Jolla, CA 92037, USA",ChIJLZGoPrEG3IARuDF5S-xWn9M,SIO,32.8681401,-117.2503233,1,92037,OK,"establishment,point_of_interest,university"
1,APPROXIMATE,"Sion, Switzerland",ChIJrxr52IXejkcRyoqHNn2uP_4,SION,46.2331221,7.360625999999999,1,,OK,"locality,political"
2,APPROXIMATE,"Šipovača, Bosnia and Herzegovina",ChIJ8RXTq58bSxMR-dzl817kqxU,SIPAVACA,43.2483358,17.4059209,1,,OK,"locality,political"
3,APPROXIMATE,"922 03 Šípkové, Slovakia",ChIJTxBeSSBVE0cRMIeXxtH3AAQ,SIPKEVE,48.6568707,17.7182543,1,922 03,OK,"locality,political"
4,APPROXIMATE,"Šipki, Croatia",ChIJ9ReNbgDlZUcRpbITnS9ZiQE,SIPKI,46.1189568,16.0538745,1,,OK,"locality,political"
5,APPROXIMATE,"Sipo, Senegal",ChIJkahMVBPV6Q4RhU3VIfbDQnY,SIPO.,13.747933,-16.511019,1,,OK,"locality,political"
6,,,,SIPORAKA,,,0,,ZERO_RESULTS,
7,APPROXIMATE,"Šipovača, Bosnia and Herzegovina",ChIJ8RXTq58bSxMR-dzl817kqxU,SIPOVACA,43.2483358,17.4059209,1,,OK,"locality,political"
8,GEOMETRIC_CENTER,"Sirao Garden, Cebu City, 6000 Cebu, Philippines",ChIJL1vye5ehqTMRvKFjeauYGm0,SIRAO,10.4067655,123.8666672,1,6000,OK,"establishment,park,point_of_interest"
9,APPROXIMATE,"Sirari, Bihar, India",ChIJr5CLl0o_8jkROauUAJzrwlQ,SIRARI,25.136013,85.9502538,1,,OK,"locality,political"
10,APPROXIMATE,"Siras, Rajasthan 304021, India",ChIJx8KwXddtbjkRQCo0SJEhoEc,SIRAS,26.2671647,76.0162836,1,304021,OK,"locality,political"
11,,,,SIREDNI GLOBODOL,,,0,,ZERO_RESULTS,
12,APPROXIMATE,"Siret 725500, Romania",ChIJAU3Q3vJCNEcRaEyJP-cBfnw,SIRET,47.9552669,26.0641683,1,725500,OK,"locality,political"
13,APPROXIMATE,Syria,ChIJp8Y8QdzmGBURIPYqiPRGdYc,SIRIA,34.80207499999999,38.996815,1,,OK,"country,political"
14,APPROXIMATE,Syria,ChIJp8Y8QdzmGBURIPYqiPRGdYc,SIRIAS,34.80207499999999,38.996815,1,,OK,"country,political"
15,APPROXIMATE,Syria,ChIJp8Y8QdzmGBURIPYqiPRGdYc,SIRIE,34.80207499999999,38.996815,1,,OK,"country,political"
16,APPROXIMATE,"Sirig, Serbia",ChIJSbnG5A8_W0cRm3nd_oVcZHM,SIRIG,45.4419958,19.8097268,1,,OK,"locality,political"
17,,,,SIRJ,,,0,,ZERO_RESULTS,
18,,,,SIRKLISCHKI,,,0,,ZERO_RESULTS,
19,GEOMETRIC_CENTER,"Viale dell'Industria, 9, Pieve di Curtarolo PD, Italy",ChIJwe-fgcjVfkcRnCaMu4zN6Uc,SIRMAN,45.534873,11.8309732,1,,OK,"establishment,point_of_interest"
20,ROOFTOP,"Via della Stelletta, 33, 00186 Roma RM, Italy",ChIJSYQH_1BgLxMR0nV-XOLlXks,SIRNI,41.9016319,12.4751395,1,00186,OK,"establishment,point_of_interest,store"
21,ROOFTOP,"Mariborska cesta 41, 2360 Radlje ob Dravi, Slovenia",ChIJe8Iome-Sb0cRtOjaP5gkFdk,SIRNIK,46.6129568,15.2326104,1,2360,OK,"car_repair,establishment,point_of_interest,store"
22,APPROXIMATE,"082 37 Široké, Slovakia",ChIJhwq6_7VYPkcRxED1xdBw7FA,SIROKA,48.9991479,20.9431488,2,082 37,OK,"locality,political"
23,APPROXIMATE,"53201, Široka Kula, Croatia",ChIJ18Wwte17YUcR-2JfkAhnPwQ,SIROKA KULA,44.613307,15.4548522,1,53201,OK,"locality,political"
24,APPROXIMATE,"Sirok, 3332 Hungary",ChIJY6BFL32KQEcRcDIeDCnEAAQ,SIROKI,47.9319682,20.1944831,1,3332,OK,"locality,political"
25,APPROXIMATE,"Široko Polje, Croatia",ChIJeY1DAjT8XEcRwqk2U1GtACY,SIROKOPOLJE,45.4038683,18.4721201,1,,OK,"locality,political"
26,APPROXIMATE,"60020 Sirolo, Province of Ancona, Italy",ChIJGfySKr9-MhMR1NVEoG_-oHs,SIROLO,43.5191009,13.6217034,1,60020,OK,"locality,political"
27,,,,SIROPLOW,,,0,,ZERO_RESULTS,
28,,,,SIROVA CAT.,,,0,,ZERO_RESULTS,
29,,,,SIRREDINE,,,0,,ZERO_RESULTS,
30,APPROXIMATE,"16-326 Serwy, Poland",ChIJpT7oc4tY4EYR9GARuwK2wTQ,SIRVAS,53.9149823,23.2039386,1,16-326,OK,"locality,political"
31,GEOMETRIC_CENTER,"100 Bd Alexis Nihon, Saint-Laurent, QC H4M 2P1, Canada",ChIJWcSPISYYyUwRNtpYjKvDlao,SIRVIASAR,45.4966371,-73.6774306,1,H4M 2P1,OK,"establishment,general_contractor,point_of_interest"
32,ROOFTOP,"1680 Union Rd, Gainesville, FL 32611, USA",ChIJF-6pvoKj6IgRoUl2VZzWHvM,SIS,29.6499992,-82.34416809999999,1,32611,OK,"establishment,point_of_interest,university"
33,APPROXIMATE,"Sisak, Croatia",ChIJM6QsbzDlZkcRsLorhlCtAAQ,SISAK,45.4850767,16.3731156,1,,OK,"locality,political"
34,APPROXIMATE,"Sisar, Haryana 125042, India",ChIJF0oJSbUUEjkR2caPfahUqXU,SISAR,29.0626429,76.15391980000001,1,125042,OK,"locality,political"
35,APPROXIMATE,"Sise, 38540 Valencin, France",ChIJEYzoePDQ9EcRJKfB3NOPilw,SISE,45.595467,5.046971999999999,2,38540,OK,"colloquial_area,political"
36,GEOMETRIC_CENTER,"Bilali Habeş Mh., 25700 Aziziye/Erzurum, Turkey",ChIJy2gP_SJZbkARR20ptnhfevE,SISNASO,39.916427,41.198868,1,25700,OK,"establishment,hospital,point_of_interest"
37,APPROXIMATE,"02240 Sissy, France",ChIJTVXhzc0k6EcRgNJpgT7xCgQ,SISSE,49.80318399999999,3.43322,1,02240,OK,"locality,political"
38,,,,SITMO,,,0,,ZERO_RESULTS,
39,,,,SITNISCH,,,0,,ZERO_RESULTS,
40,,,,SIUVAS,,,0,,ZERO_RESULTS,
41,APPROXIMATE,"Sivac, Serbia",ChIJP4NFpAOsXEcRbYko5FcL5UM,SIVAC,45.7220457,19.379224,1,,OK,"locality,political"
42,APPROXIMATE,"Sivan, 04000 La Robine-sur-Galabre, France",ChIJvbPSTD2DyxIR-aPPf0Za90Y,SIVAN,44.18087,6.257969,1,04000,OK,"colloquial_area,political"
43,ROOFTOP,"794 Juniper St NE, Atlanta, GA 30308, USA",ChIJpwCj32gE9YgRvYG7xdy6sKk,SIVAS,33.776205,-84.38317599999999,1,30308,OK,"establishment,food,point_of_interest,restaurant"
44,APPROXIMATE,"Sivaz, Uzbekistan",ChIJB3XmYfeXTD8RnHBpu_cCpoE,SIVAZ,39.101921,66.986847,1,,OK,"locality,political"
45,APPROXIMATE,"Siverić, Croatia",ChIJHRXQrQofYEcRI6mATb9PwRc,SIVERIC,43.8782724,16.1931555,1,,OK,"locality,political"
